SideEffectTerm	SecondLevelMedDRATerm
oral herpes	Oral soft tissue conditions
erythema nodosum	Skin and subcutaneous tissue disorders NEC
erythema nodosum	Immune disorders NEC
pruritus generalised	Epidermal and dermal conditions
injection site inflammation	Administration site reactions
mood swings	Mood disorders and disturbances NEC
anorgasmia	Sexual dysfunctions, disturbances and gender identity disorders
micturition urgency	Urinary tract signs and symptoms
carpal tunnel syndrome	Peripheral neuropathies
infestation	Skin and subcutaneous tissue infections and infestations
infestation	Ectoparasitic disorders
hypotension	Decreased and nonspecific blood pressure disorders and shock
eructation	Gastrointestinal signs and symptoms
nasal dryness	Upper respiratory tract disorders (excl infections)
intraocular pressure increased	Neurological, special senses and psychiatric investigations
photosensitivity reaction	Epidermal and dermal conditions
delusion	Disturbances in thinking and perception
stridor	Upper respiratory tract disorders (excl infections)
liver function test abnormal	Hepatobiliary investigations
infarction	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
lymphoedema	Lymphatic vessel disorders
lymphoedema	Spleen, lymphatic and reticuloendothelial system disorders
ataxia	General system disorders NEC
ataxia	Neurological disorders NEC
gingival pain	Dental and gingival conditions
iritis	Immune disorders NEC
iritis	Ocular infections, irritations and inflammations
sunburn	Epidermal and dermal conditions
sunburn	Injuries by physical agents
catheter site pain	Administration site reactions
haemorrhagic disorder	Vascular haemorrhagic disorders
haemorrhagic disorder	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
libido increased	Sexual function and fertility disorders
libido increased	Sexual dysfunctions, disturbances and gender identity disorders
suicidal ideation	Suicidal and self-injurious behaviours NEC
blood urea increased	Renal and urinary tract investigations and urinalyses
arteriosclerosis	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
derealisation	Disturbances in thinking and perception
visual acuity reduced	Neurological disorders of the eye
visual acuity reduced	Vision disorders
fluid retention	Renal disorders (excl nephropathies)
fluid retention	Electrolyte and fluid balance conditions
dyspnoea exertional	Respiratory disorders NEC
dyspnoea exertional	Cardiac disorder signs and symptoms
mouth ulceration	Oral soft tissue conditions
erectile dysfunction	Sexual function and fertility disorders
erectile dysfunction	Sexual dysfunctions, disturbances and gender identity disorders
hyperbilirubinaemia	Hepatic and hepatobiliary disorders
hyperbilirubinaemia	Haemolyses and related conditions
hyperbilirubinaemia	Metabolism disorders NEC
musculoskeletal discomfort	Musculoskeletal and connective tissue disorders NEC
bacterial infection	Bacterial infectious disorders
libido decreased	Sexual function and fertility disorders
libido decreased	Sexual dysfunctions, disturbances and gender identity disorders
tachypnoea	Respiratory disorders NEC
electrocardiogram qt prolonged	Cardiac and vascular investigations (excl enzyme tests)
retroperitoneal haemorrhage	Peritoneal and retroperitoneal conditions
retroperitoneal haemorrhage	Vascular haemorrhagic disorders
blood albumin decreased	Protein and chemistry analyses NEC
haematochezia	Gastrointestinal haemorrhages NEC
haematochezia	Vascular haemorrhagic disorders
iron deficiency anaemia	Anaemias nonhaemolytic and marrow depression
iron deficiency anaemia	Iron and trace metal metabolism disorders
gynaecomastia	Endocrine disorders of gonadal function
gynaecomastia	Breast disorders
pulmonary hypertension	Vascular hypertensive disorders
pulmonary hypertension	Pulmonary vascular disorders
sticky skin	Epidermal and dermal conditions
panic attack	Anxiety disorders and symptoms
epistaxis	Upper respiratory tract disorders (excl infections)
epistaxis	Vascular haemorrhagic disorders
conjunctival hyperaemia	Ocular infections, irritations and inflammations
neurosis	Anxiety disorders and symptoms
inflammation	General system disorders NEC
conjunctival oedema	Ocular infections, irritations and inflammations
cerebellar syndrome	Neurological disorders NEC
tendonitis	Injuries NEC
tendonitis	Tendon, ligament and cartilage disorders
tracheobronchitis	Respiratory tract infections
tracheobronchitis	Infections - pathogen unspecified
aspartate aminotransferase increased	Hepatobiliary investigations
skin lesion	Epidermal and dermal conditions
osteonecrosis	Bone disorders (excl congenital and fractures)
osteonecrosis	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
productive cough	Respiratory disorders NEC
proteinuria	Urinary tract signs and symptoms
tongue discolouration	Tongue conditions
pruritus	Epidermal and dermal conditions
libido disorder	Sexual function and fertility disorders
libido disorder	Sexual dysfunctions, disturbances and gender identity disorders
hair texture abnormal	Skin appendage conditions
vasculitis	Vascular inflammations
vasculitis	Immune disorders NEC
acute respiratory distress syndrome	Lower respiratory tract disorders (excl obstruction and infection)
seasonal allergy	Upper respiratory tract disorders (excl infections)
seasonal allergy	Allergic conditions
seasonal allergy	Ocular infections, irritations and inflammations
exophthalmos	Thyroid gland disorders
exophthalmos	Ocular structural change, deposit and degeneration NEC
deep vein thrombosis	Embolism and thrombosis
muscle rigidity	Muscle disorders
muscle rigidity	Neuromuscular disorders
hirsutism	Endocrine disorders of gonadal function
hirsutism	Skin appendage conditions
rash papular	Epidermal and dermal conditions
cervix disorder	Cervix disorders (excl infections and inflammations)
thyroid disorder	Thyroid gland disorders
proctalgia	Anal and rectal conditions NEC
vulvovaginal candidiasis	Female reproductive tract infections and inflammations
vulvovaginal candidiasis	Fungal infectious disorders
hypocalcaemia	Bone, calcium, magnesium and phosphorus metabolism disorders
night sweats	Skin appendage conditions
night sweats	General system disorders NEC
hypernatraemia	Electrolyte and fluid balance conditions
conjunctivitis allergic	Allergic conditions
conjunctivitis allergic	Ocular infections, irritations and inflammations
vulvovaginitis	Female reproductive tract infections and inflammations
vulvovaginitis	Infections - pathogen unspecified
visual impairment	Vision disorders
ischaemia	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
